Andre Burakovsky,COL,1996-10-19 16:36:00.631386,1000,LW,53,19,25,16,22
Brent Burns,SJS,1986-10-22 16:36:00.632026,1000,D,56,7,22,94,31
Kyle Burroughs,COL,1996-10-19 16:36:00.632918,1000,D,5,0,1,2,10
Will Butcher,NJD,1995-10-20 16:36:00.633931,1000,D,23,1,10,28,7
Quinton Byfield,LAK,2003-10-18 16:36:00.634527,1000,C,6,0,1,3,3
Bowen Byram,COL,2002-10-18 16:36:00.635325,1000,D,19,0,2,13,33
Paul Byron,MTL,1990-10-21 16:36:00.636541,1000,LW,46,5,11,22,116
Nicholas Caamano,DAL,1999-10-19 16:36:00.638065,1000,RW,24,0,1,8,41
Drake Caggiula,TOT,1995-10-20 16:36:00.638680,1000,LW,38,3,7,9,64
Drake Caggiula,ARI,1995-10-20 16:36:00.639221,1000,LW,27,1,6,6,49
Drake Caggiula,BUF,1995-10-20 16:36:00.639788,1000,LW,11,2,1,3,15
Matt Calvert,COL,1990-10-21 16:36:00.640327,1000,LW,18,0,3,8,12
Kyle Capobianco,ARI,1998-10-19 16:36:00.640859,1000,D,2,0,0,2,1
Brandon Carlo,BOS,1997-10-19 16:36:00.641528,1000,D,27,3,1,35,38
John Carlson,WSH,1990-10-21 16:36:00.642080,1000,D,52,10,34,69,52
Gabriel Carlsson,CBJ,1997-10-19 16:36:00.642618,1000,D,14,1,3,12,11
Lucas Carlsson,CHI,1998-10-19 16:36:00.643152,1000,D,12,0,1,3,6
Ryan Carpenter,CHI,1991-10-21 16:36:00.643685,1000,C,40,4,1,17,78
Daniel Carr,WSH,1992-10-20 16:36:00.644229,1000,LW,6,0,1,4,10
Connor Carrick,NJD,1995-10-20 16:36:00.644770,1000,D,11,1,1,24,11
Sam Carrick,ANA,1993-10-20 16:36:00.645316,1000,C,13,2,4,3,29
Alexandre Carrier,NSH,1997-10-19 16:36:00.645928,1000,D,19,1,2,31,22
William Carrier,VEG,1995-10-20 16:36:00.646489,1000,LW,52,6,9,13,131
Jeff Carter,TOT,1985-10-22 16:36:00.647030,1000,C,54,17,13,30,41
Jeff Carter,LAK,1985-10-22 16:36:00.648006,1000,C,40,8,11,20,36
Jeff Carter,PIT,1985-10-22 16:36:00.649109,1000,C,14,9,2,10,5
Jackson Cates,PHI,1998-10-19 16:36:00.650615,1000,C,4,0,1,0,0
Cole Caufield,MTL,2001-10-18 16:36:00.651432,1000,RW,10,4,1,0,3
Cody Ceci,PIT,1994-10-20 16:36:00.652001,1000,D,53,4,13,70,74
Erik Cernak,TBL,1998-10-19 16:36:00.652655,1000,D,46,5,13,46,98
Thomas Chabot,OTT,1997-10-19 16:36:00.653326,1000,D,49,6,25,72,68
Michael Chaput,ARI,1993-10-20 16:36:00.654270,1000,C,13,0,0,8,19
Zdeno Chara,WSH,1978-10-24 16:36:00.654811,1000,D,55,2,8,67,88
Jalen Chatfield,VAN,1997-10-19 16:36:00.655354,1000,D,18,0,1,10,11
Ivan Chekhovich,SJS,1999-10-19 16:36:00.655892,1000,LW,4,0,1,2,0
Ben Chiarot,MTL,1992-10-20 16:36:00.656439,1000,D,41,1,6,60,77
Alex Chiasson,EDM,1991-10-21 16:36:00.656985,1000,RW,45,9,7,7,40
Filip Chlapik,OTT,1998-10-19 16:36:00.657526,1000,C,1,0,0,0,1
Sasha Chmelevski,SJS,2000-10-18 16:36:00.658063,1000,C,5,0,2,1,7
Dennis Cholowski,DET,1999-10-19 16:36:00.658607,1000,D,16,1,2,18,5
Jakob Chychrun,ARI,1999-10-19 16:36:00.659147,1000,D,56,18,23,89,59
Filip Chytil,NYR,2000-10-18 16:36:00.659688,1000,C,42,8,14,19,15
Anthony Cirelli,TBL,1998-10-19 16:36:00.660222,1000,C,50,9,13,32,64
Casey Cizikas,NYI,1992-10-20 16:36:00.660753,1000,C,56,7,7,25,112
Fredrik Claesson,TOT,1993-10-20 16:36:00.661281,1000,D,6,0,0,7,10
Fredrik Claesson,SJS,1993-10-20 16:36:00.661811,1000,D,4,0,0,2,8
Fredrik Claesson,TBL,1993-10-20 16:36:00.662433,1000,D,2,0,0,5,2
Kale Clague,LAK,1999-10-19 16:36:00.662976,1000,D,18,0,6,13,9
Kyle Clifford,STL,1991-10-21 16:36:00.663511,1000,LW,50,4,3,17,69
Connor Clifton,BOS,1996-10-19 16:36:00.664041,1000,D,44,1,6,52,108
Cal Clutterbuck,NYI,1988-10-21 16:36:00.664973,1000,RW,50,4,7,23,191
Braydon Coburn,TOT,1986-10-22 16:36:00.665558,1000,D,19,0,2,20,27
Braydon Coburn,OTT,1986-10-22 16:36:00.667095,1000,D,16,0,2,14,25
Braydon Coburn,NYI,1986-10-22 16:36:00.668358,1000,D,3,0,0,6,2
Dylan Coghlan,VEG,1999-10-19 16:36:00.669473,1000,D,29,3,3,16,29
Andrew Cogliano,DAL,1988-10-21 16:36:00.670445,1000,LW,54,5,6,24,79
Ian Cole,TOT,1990-10-21 16:36:00.671184,1000,D,54,1,7,94,38
Ian Cole,MIN,1990-10-21 16:36:00.671750,1000,D,52,1,7,92,34
Ian Cole,COL,1990-10-21 16:36:00.672289,1000,D,2,0,0,2,4
Blake Coleman,TBL,1992-10-20 16:36:00.672820,1000,C,55,14,17,20,109
Ross Colton,TBL,1997-10-19 16:36:00.673445,1000,C,30,9,3,6,36
Blake Comeau,DAL,1987-10-22 16:36:00.674039,1000,RW,51,4,10,18,106
J.T. Compher,COL,1996-10-19 16:36:00.674593,1000,LW,48,10,8,38,32
Max Comtois,ANA,1999-10-19 16:36:00.675141,1000,LW,55,16,17,34,93
Kevin Connauton,FLA,1991-10-21 16:36:00.675677,1000,D,7,0,1,3,12
Brett Connolly,TOT,1993-10-20 16:36:00.676452,1000,RW,31,3,3,8,44
Brett Connolly,FLA,1993-10-20 16:36:00.677013,1000,RW,21,2,2,5,25
Brett Connolly,CHI,1993-10-20 16:36:00.677561,1000,RW,10,1,1,3,19
Kyle Connor,WPG,1997-10-19 16:36:00.678111,1000,LW,56,26,24,18,18
Andrew Copp,WPG,1995-10-20 16:36:00.678655,1000,C,55,15,24,41,67
Nick Cousins,NSH,1994-10-20 16:36:00.679290,1000,C,52,5,13,16,48
Logan Couture,SJS,1990-10-21 16:36:00.679840,1000,C,53,17,14,39,58
Sean Couturier,PHI,1993-10-20 16:36:00.680384,1000,C,45,18,23,22,34
Charlie Coyle,BOS,1993-10-20 16:36:00.681128,1000,C,51,6,10,24,57
Dylan Cozens,BUF,2002-10-18 16:36:00.682265,1000,C,41,4,9,11,30
Joseph Cramarossa,MIN,1993-10-20 16:36:00.683581,1000,C,4,0,1,1,10
Sidney Crosby,PIT,1988-10-21 16:36:00.684703,1000,C,55,24,38,28,44
Lawson Crouse,ARI,1998-10-19 16:36:00.685475,1000,LW,51,4,9,30,155
Josh Currie,PIT,1993-10-20 16:36:00.686139,1000,RW,1,0,0,0,0
Austin Czarnik,NYI,1993-10-20 16:36:00.687089,1000,C,4,0,0,2,2
Kevin Czuczman,PIT,1991-10-21 16:36:00.687803,1000,D,2,0,0,2,1
Kirby Dach,CHI,2001-10-18 16:36:00.688379,1000,C,18,2,8,12,7
Evgenii Dadonov,OTT,1990-10-21 16:36:00.688960,1000,RW,55,13,7,26,38
Rasmus Dahlin,BUF,2001-10-18 16:36:00.689517,1000,D,56,5,18,45,80
Michael Dal Colle,NYI,1997-10-19 16:36:00.690073,1000,LW,26,1,3,9,32
Zac Dalpe,CBJ,1990-10-21 16:36:00.690613,1000,RW,12,2,1,8,11
Phillip Danault,MTL,1994-10-20 16:36:00.691149,1000,C,53,5,19,28,76
Brandon Davidson,BUF,1992-10-20 16:36:00.691686,1000,D,6,0,0,5,14
Jeremy Davies,NSH,1997-10-19 16:36:00.692220,1000,D,16,0,1,7,11
Calvin de Haan,CHI,1992-10-20 16:36:00.692753,1000,D,44,1,9,85,99
