Alex Chiasson,EDM,1991-10-21,1000.0,RW,45,9,7,7,40
Jakob Chychrun,ARI,1999-10-19,1000.0,D,56,18,23,89,59
Filip Chytil,NYR,2000-10-18,1000.0,C,42,8,14,19,15
Anthony Cirelli,TBL,1998-10-19,1000.0,C,50,9,13,32,64
Casey Cizikas,NYI,1992-10-20,1000.0,C,56,7,7,25,112
Kyle Clifford,STL,1991-10-21,1000.0,LW,50,4,3,17,69
Connor Clifton,BOS,1996-10-19,1000.0,D,44,1,6,52,108
Cal Clutterbuck,NYI,1988-10-21,1000.0,RW,50,4,7,23,191
Dylan Coghlan,VEG,1999-10-19,1000.0,D,29,3,3,16,29
Andrew Cogliano,DAL,1988-10-21,1000.0,LW,54,5,6,24,79
Ian Cole,TOT,1990-10-21,1000.0,D,54,1,7,94,38
Ian Cole,MIN,1990-10-21,1000.0,D,52,1,7,92,34
Blake Coleman,TBL,1992-10-20,1000.0,C,55,14,17,20,109
Ross Colton,TBL,1997-10-19,1000.0,C,30,9,3,6,36
Blake Comeau,DAL,1987-10-22,1000.0,RW,51,4,10,18,106
J.T. Compher,COL,1996-10-19,1000.0,LW,48,10,8,38,32
Max Comtois,ANA,1999-10-19,1000.0,LW,55,16,17,34,93
Brett Connolly,TOT,1993-10-20,1000.0,RW,31,3,3,8,44
Brett Connolly,FLA,1993-10-20,1000.0,RW,21,2,2,5,25
Kyle Connor,WPG,1997-10-19,1000.0,LW,56,26,24,18,18
Andrew Copp,WPG,1995-10-20,1000.0,C,55,15,24,41,67
Nick Cousins,NSH,1994-10-20,1000.0,C,52,5,13,16,48
Logan Couture,SJS,1990-10-21,1000.0,C,53,17,14,39,58
Sean Couturier,PHI,1993-10-20,1000.0,C,45,18,23,22,34
Charlie Coyle,BOS,1993-10-20,1000.0,C,51,6,10,24,57
Dylan Cozens,BUF,2002-10-18,1000.0,C,41,4,9,11,30
Sidney Crosby,PIT,1988-10-21,1000.0,C,55,24,38,28,44
Lawson Crouse,ARI,1998-10-19,1000.0,LW,51,4,9,30,155
